ID,"pre_After reading the participant information on Quercus, please select one of the following:",pre_Are you a first-year student?,pre_Are you an international student?,pre_Is English your first language?,pre_Please tick all that apply. You are:,pre_What first-year calculus course have you taken or are you currently taking?,pre_Have you taken or are you taking a first-year programming course?,pre_In what statistics program of study have you enrolled or would you like to enrol in (select your first choice)?,pre_How would you describe your professional writing ability?,pre_What is your experience with programming?,pre_What is your experience with the Python programming language?,pre_How do you evaluate your skill level at Python programming?,"pre_How effectively do you feel you can perform statistical data analysis with Python?
",pre_Which of the following statements best describe your feelings about the use of Python for STA130? Select all that apply.,pre_Which of the following statements best describe your feelings about learning to code in Python in STA130? Select all that apply.,"pre_Which of the following statements best describes your feelings about learning to code in general? 
",pre_participation_indicator,post_Approximately how many total hours per week on average did you spend on STA130 this semester?,post_Approximately how many total hours per week on average did you spend completing STA130 assignments (not counting general studying or attending or reviewing class meetings)?,post_Which of the following did you routinely utilize and find helpful in supporting your ability to learn Python as part of STA130? (You may select more than one),"post_Which of the following did you find to be the MOST helpful and supportive in terms of performing well in STA130 overall? (You may select more than one)
","post_Which aspects of STA130 do you think were the LEAST helpful and supportive for student success in the class? (You may select more than one)
",post_How do you evaluate your skill level at Python programming?,post_How successful were you in learning Python this semester?,post_How much has your skill at Python programming increased since the beginning of the semester?,"post_Which of the following statements best describes your feelings about learning to code in general?
","post_Which of the following statements best describes your assessment of the amount of resources available in STA130 to support your ability to learn to code in Python?
",post_Has STA130 jump-started and fostered your ability to learn python?,"post_Is it helpful to have previous experience with computer programming or simultaneously take a computer programming course to do well in STA130?
",post_Did you enjoy learning statistical and data science concepts based on first introducing them through Python?,"post_Through your experience with the course project and other course (or non-course) activities, how effectively do you feel you can perform statistical data analysis with Python?",post_How much do you feel your skill at performing statistical data analysis with Python has improved since the beginning of the semester?,post_How strong is your sense of community and belonging here at UofT?,post_How strong is your sense of community and belonging in STA130?,post_How helpful has STA130 been in helping you develop a sense of community and belonging at UofT?,"post_What aspects of the STA130 course contributed to and supported developing a sense of community and belonging here at UofT? (You may select more than one)
",post_How would you describe your professional writing ability?,post_How helpful were the weekly writing assignments (in the Weekly Homeworks and Tutorial Activities and Assignments) for the development of your professional writing ability?,post_How helpful was the course project and related activities and assignments in giving you an opportunity to apply your communication skills?,"post_What aspects of the course contributed MOST to the development of your professional writing ability? (You may select more than one)
","post_Describe the purpose of statistical inference (for example, testing and confidence intervals)","post_Applying statistical methods for description, prediction and inference",post_Visualizing data,post_Use simulation to solve a variety of problems with data,"post_Manipulating and ""wrangling"" data",post_Using Python for data analysis,post_Communicating in writing to both statisticians and non-statisticians,post_Communicating orally to both statisticians and non-statisticians,post_Translating practical problems into statistical terms and vice versa,post_Describing how ethical practice is important in statistical work,post_Using statistical knowledge to solve problems in other disciplines,post_Understanding statistical analysis as a problem-solving process (i.e. from study design through data exploration and analysis through communication of results),post_Evaluating strengths and limitations of solutions to statistical problems,post_What was the most interesting part of this course?,post_What would you add or what would you change about the course?
11,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,White;,MAT137,None of the above,Statistics Major,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,I don't think programming should be a part of a statistics course;I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am excited to be learning a practical skill that's greatly valued in industry;I am concerned that I might not be able to learn to program in Python on my own;I am concerned that it will be very hard to learn Python;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;",I need access to some guidance and support to help me as I start to learn to code,TRUE,Between 8 to 12 hours,More than 6 hours,Monday Class Coding Notebooks;Weekly homework;Friday In-Person Tutorials ;Tutorial Activities;Tutorial Assignments;Friday Tutorial Presentation Notebooks;,OCCS Class Lecture Recordings;Monday Class Coding Notebooks;Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Activities;Tutorial Assignments;,"""Piazza"" Discussion Board;",Intermediate,Somewhat successful ,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Moderately, STA130 was fairly helpful for learning Python",Very helpful,It didn't really seem to matter to me that course topics were introduced with Python,Neither effectively nor ineffectively,Moderately,Neutral,Neutral,Moderately helpful,Monday Class Coding Notebooks;OCCS Class Lecture Recordings;Weekly homework;,Good,Moderately helpful,Moderately helpful,Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Activities;Tutorial Assignments;,Neutral,Neutral,Neutral,Not very well,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Reasonably well,Neutral,Neutral,Learning python,"To introduce new vocabulary with explanations behind what they mean, rather then using new stats vocab throughout the lecture casually. "
12,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"East Asian (e.g. Chinese, Korean, Japanese),;West Asian/Middle Eastern (e.g. Iranian, Afghan, Syrian);",MAT137,CSC110,Statistics Minor,Adequate,I have used a programming language in a class or some other context for somewhere between up to half of a year,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 4 to 8 hours,Between 2 of 4 hours,"Corequisite CSC Requirements;OCCS Class Lecture Recordings;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Activities;Tutorial Assignments;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);",Friday In-Person Tutorials ;,Monday In-Person Class Lectures;,Intermediate,Somewhat successful ,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Minimal, I only sometimes was able to use STA130 resources to help myself learn to code in Python","Minimally, but STA130 was only somewhat helpful for learning Python",Very helpful,"Yes, I liked having course topics introduced using Python",Neither effectively nor ineffectively,Moderately,Neutral,Neutral,Not applicable,"Corequisite CSC Requirements;The Course Project;Classmates (RSGs, study-buddies, etc.);Friday In-Person Tutorials ;",Very good,Moderately helpful,Slightly helpful,Tutorial Assignments;,Not very well,Reasonably well,Extremely well,Neutral,Reasonably well,Reasonably well,Extremely well,Extremely well,Neutral,Reasonably well,Not at all,Neutral,Reasonably well,I really liked KC's tutorials.,"I would change how the lectures work. We seriously need slides, and a textbook."
13,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Very good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat effectively,I am glad we're using the same programming language as corequisite CSC courses ;,I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,More than 15 hours,More than 6 hours,"""Piazza"" Discussion Board;Self-Learning (using online resources, etc.);Classmates (RSGs, study-buddies, etc.);","Self-Learning (using online resources, etc.);",Monday In-Person Class Lectures;,Beginner,Somewhat unsuccessful,Moderately,I need access to some guidance and support to help me as I start to learn to code,"Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","No, STA130 was not at all been helpful for learning Python",Somewhat unhelpful,It didn't really seem to matter to me that course topics were introduced with Python,Neither effectively nor ineffectively,Moderately,Neutral,Neutral,Not at all helpful,"Self-Learning (using online resources, etc.);",Good,Moderately helpful,Moderately helpful,"Self-Learning (using online resources, etc.);",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Questions relating to the reality of the problem,"Provide some pre-reading materials, and powerpoints or handouts in class so that we can logically go through the knowledge"
14,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,White;,MAT137,CSC108 (or equivalent programming experience),Statistics Minor,Very good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 8 to 12 hours,Between 2 of 4 hours,"Monday In-Person Class Lectures;Monday Class Coding Notebooks;Weekly homework;The Course Project;Friday In-Person Tutorials ;""Piazza"" Discussion Board;Friday Tutorial Presentation Notebooks;Tutorial Assignments;","Monday In-Person Class Lectures;Monday Class Coding Notebooks;""Piazza"" Discussion Board;The Course Project;",Corequisite CSC Requirements;,Intermediate,Somewhat successful ,Substantially,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Mostly, STA130 was generally helpful for learning Python",Somewhat helpful,"Yes, I liked having course topics introduced using Python",Somewhat effectively,Tremendously,Somewhat strong,Extremely strong,Very helpful,"Friday In-Person Tutorials ;Monday In-Person Class Lectures;Classmates (RSGs, study-buddies, etc.);",Very good,Slightly helpful,Very helpful,Tutorial Assignments;,Reasonably well,Reasonably well,Extremely well,Reasonably well,Extremely well,Extremely well,Neutral,Reasonably well,Neutral,Reasonably well,Not very well,Reasonably well,Extremely well,"Definitely near the end, with the multivariable models and machine learning segments, while being intuitive, it was challenging enough to force you to understand it well, and the course project also helped with this greatly.","I found the homework to be very challenging near the end of the course, and I ended up not doing the last two homework because of their difficult and midterm exams. So I might decrease the difficulty of some of the homework notebooks."
15,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Intermediate,Very effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT157,None of the above,Data Science Specialist,Very good,I have used a programming language in a class or some other context for more than two years,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Advanced,Somewhat effectively,"I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am language agnostic, and don't really care which programming language we use;",I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, and plan to figure things out myself",TRUE,Four 4 or less,Less than 2 hours,"Weekly homework;Friday In-Person Tutorials ;Classmates (RSGs, study-buddies, etc.);","Self-Learning (using online resources, etc.);Tutorial Assignments;Tutorial Activities;Weekly homework;","Monday In-Person Class Lectures;""General"" Office Hours;""Coding"" Office Hours;The Course Project;",Expert,Neither successful nor unsuccessful ,Minimally,"I can learn to code on my own, and plan to figure things out myself","Minimal, I only sometimes was able to use STA130 resources to help myself learn to code in Python","No, STA130 was not at all been helpful for learning Python",Neither helpful nor unhelpful,"No, I did not like having course topics introduced using Python",Somewhat effectively,Minimally,Somewhat strong,Somewhat strong,Slightly helpful,Friday In-Person Tutorials ;,Very good,Moderately helpful,Moderately helpful,Weekly homework;Friday In-Person Tutorials ;Tutorial Activities;Tutorial Assignments;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Using a combination of many different libraries to complete all the assignments. ,Making the assignments more clear as sometimes the hardest part of the assignment was figuring out the questions it was asking. 
17,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Specialist: Methods and Practice,Very good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;",I need access to some guidance and support to help me as I start to learn to code,TRUE,Between 8 to 12 hours,Between 4 to 6 hours ,"Monday In-Person Class Lectures;Monday Class Coding Notebooks;""Coding"" Office Hours;Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Assignments;The Course Project;","Friday In-Person Tutorials ;Monday In-Person Class Lectures;""Coding"" Office Hours;",Corequisite CSC Requirements;,Intermediate,Somewhat successful ,Substantially,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Mostly, STA130 was generally helpful for learning Python",Very helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Substantially,Neutral,Somewhat strong,Very helpful,"The STA130 Mentorship Program;Friday In-Person Tutorials ;Classmates (RSGs, study-buddies, etc.);",Very good,Moderately helpful,Very helpful,The Course Project;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Extremely well,Neutral,Extremely well,Reasonably well,Extremely well,Reasonably well,Reasonably well,"The course project is particularly interesting to me because I think exploring the intersection of data science and the social sciences is compelling. Not only can we practice advanced data wrangling and regression analysis for a comprehensive data set, we also ought to stay attentive to what statistical models' decision making means in the physical world and affects different social groups. Similarly, I really enjoyed the integration of ethics into the course content.","Even though there were office hours dedicating to Python fundamentals throughout the semester, I still think it would benefit most students by discussing basic syntax and rules of Python in the first few lectures. Since we immediately jumped into the pandas library, not having a solid background in a programming language can be a huge downward force hindering student success. "
18,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,"I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Intermediate,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am concerned that I might not be able to learn to program in Python on my own;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat effectively,"I am concerned that since many statistics courses use R rather than Python, using Python might not be the best language choice for this course;",I am concerned that I might not be able to learn to program in Python on my own;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
